"team","date","time","name","pos","status","injury","note","year","cdate","conf","bcs"
"Miami (OH) RedHawks","08/30/11","1:41am","Steve Marck","TE","Out For Year","Knee","Marck injured his knee in spring practice and elected to have surgery on it.  He will miss the entire year.  He was to be backup TE this year.  Last year he totaled 2 catches for 9 yards. ",2011,"2011-08-30","MAC","n"
"Miami (OH) RedHawks","09/16/11","12:44am","Mwanza Wamulumba","DL","Out For Year","Achilles","Wamulumba is out for the year with a torn achilles.  The sophomore backup started 4 games last season as a true freshman and finished the year with 8 tackles.  He will likely redshirt this season.",2011,"2011-09-16","MAC","n"
"Miami (OH) RedHawks","09/16/11","12:41am","JoJo Williams","OL","Doubtful","Concussion/Head","Williams went down in the 3rd quarter in the game against Missouri with a concussion.  The junior did not return and coach Don Treadwell didn't have any information on when Williams might get back on the field. ",2011,"2011-09-16","MAC","n"
"Miami (OH) RedHawks","09/21/11","2:41pm","Matt Kennedy","OL","Doubtful","Leg","Kennedy missed the Minnesota game after getting injured in practice with what coach Don Treadwell called a lower body injury.  Kennedy was later seen on the sideline with his left lower leg wrapped and with crutches.  The junior has 23 career starts for the Redhawks.  Freshman Zach Lewis started in place of Kennedy.",2011,"2011-09-21","MAC","n"
"Miami (OH) RedHawks","10/05/11","11:17pm","Wes Williams","DL","Doubtful","Leg","Williams has been out with a leg injury.  The junior missed the Cincinnati game and hasn't been able to practice this week.  Williams has 12 tackles this season through 3 games. ",2011,"2011-10-05","MAC","n"
"Miami (OH) RedHawks","10/05/11","11:15pm","Chris Givens","WR","Questionable","Concussion/Head","Givens has been sidelined with a concussion he suffered in the Bowling Green game.  The senior sat out the Cincinnati game and is questionable to play against Army.  Givens is second on the team with 16 receptions for 185 yards and a TD.",2011,"2011-10-05","MAC","n"
"Miami (OH) RedHawks","10/12/11","10:34pm","Will Diaz","DL","Probable","Knee","Diaz has been hobbled lately with a sprained knee.  The senior is expected to play this weekend.  He has 20 tackles on the season and leads the team with 5.5 tackles for losses.",2011,"2011-10-12","MAC","n"
"Michigan State Spartans","08/05/11","3:23pm","Antonio Jeremiah","DL","Out","Knee","Jeremiah injured a knee during spring practice and is out indefinitely, if not the entire 2011 season. The senior has played in 28 games (nine last year) and has 17 total tackles during his career.",2011,"2011-08-05","B10","y"
"Michigan State Spartans","08/05/11","3:18pm","Jairus Jones","DB","Out","Achilles","Jones tore his Achilles tendon in spring practice and will likely miss the first month of the season. The sophomore played in 12 games last fall and recorded 15 tackles. Coach Dantonio said Jones should be running by September.",2011,"2011-08-05","B10","y"
"Michigan State Spartans","08/05/11","3:15pm","Zach Hueter","OL","Out For Year","Shoulder","Heuter has been forced to give up football due to a recurring shoulder injury. He sat out the past two seasons because of the injury and has been medically disqualified this year. The junior played well in the spring and earned at least co-starter status before requiring his fifth surgery on that shoulder.",2011,"2011-08-05","B10","y"
"Michigan State Spartans","09/08/11","4:33pm","Tyler Hoover","DL","Questionable","Back","Hoover has been dealing with a back injury and labored through the season opener. The junior is questionable to be at full strength for the week two Florida Atlantic game. RS freshman Marcus Rush was in the starting lineup vs. Youngstown and would likely start again if Hoover cannot go.",2011,"2011-09-08","B10","y"
"Michigan State Spartans","09/07/11","3:09am","Travis Jackson","OL","Questionable","Ankle","Jackson is still dealing with an ankle injury and is questionable for the week two game. The RS freshman won the starting center job this summer but might enter the game as a reserve vs. Florida Atlantic. Junior Blake Treadwell will start this week.",2011,"2011-09-07","B10","y"
"Michigan State Spartans","09/07/11","3:04am","Bennie Fowler","WR","Questionable","Foot","Fowler missed the opener with a foot injury and is questionable to be available for the week two matchup. The sophomore played in 13 games last year and is projected to be a backup this fall. He caught 14 passes for 175 yards and a touchdown last season.",2011,"2011-09-07","B10","y"
"Michigan State Spartans","09/23/11","3:14am","Blake Treadwell","OL","Out","Knee","Treadwell has a knee injury and is expected to sit out the C.Michigan game. The junior reserve is one of several lineman that have gone down recently. There is
 not a ton of depth behind the starting unit right now. Sophomore Micajah Reynolds has been moved over from the defense to help out.",2011,"2011-09-23","B10","y"
"Michigan State Spartans","09/23/11","3:12am","Jared McGaha","OL","Out","Knee","McGaha has a knee injury and is expected to sit out the C.Michigan game. The senior reserve is one of several lineman that have gone down recently. There is not a ton of depth behind the starting unit right now.",2011,"2011-09-23","B10","y"
"Michigan State Spartans","09/23/11","3:09am","Skyler Burkland","OL","Out For Year","Ankle","Burkland suffered a broken bone near his ankle and will miss the remainder of the season. The RS freshman was replaced by JC transfer Fou Fonoti. Fonoti is likely to be the full-time replacement for Burkland at right tackle.",2011,"2011-09-23","B10","y"
"Michigan State Spartans","11/04/11","12:11am","Steve Gardiner","LB","Probable","Upper Body","Gardiner suffered an upper-body injury in the last game and was forced to exit the game. The junior backup has 16 tackles on the year. He started in place of the injured Chris Norman and was replaced by sophomore Kyler Elsworth. Gardiner is upgraded to probable for Minnesota.",2011,"2011-11-04","B10","y"
"Michigan State Spartans","11/04/11","12:10am","Larry Caper","RB","Probable","Concussion/Head","Caper was injured on the opening kickoff in week nine but is upgraded to probable to play vs. Minnesota. The junior backup is third on the team with 100 yards rushing.",2011,"2011-11-04","B10","y"
"Michigan State Spartans","11/01/11","1:11am","Johnny Adams","DB","Questionable","Leg","Adams suffered a leg injury in the last game and is questionable to return for the Minnesota matchup. The junior is 8th on the team with 34 tackles but has a team-high five pass breakups.",2011,"2011-11-01","B10","y"
"Michigan State Spartans","10/31/11","12:06am","Travis Jackson","OL","Questionable","Leg","Jackson suffered a leg injury in the last game and was not able to return. The RS freshman is questionable for the Minnesota contest in week ten.",2011,"2011-10-31","B10","y"
"Michigan State Spartans","10/31/11","12:01am","Chris Norman","LB","Probable","Shoulder","Norman did not play in the loss at Nebraska due to a sprained shoulder but is expected to return for the Minnesota game. The junior is second on the team with 44 tackles this season. Steve Gardiner started in his place in Lincoln but suffered an injury of his own.",2011,"2011-10-31","B10","y"
"Michigan State Spartans","11/19/11","12:59am","Darqueze Dennard","DB","Questionable","Ankle","Dennard suffered an ankle injury in the last game and is questionable to play Saturday vs. Indiana. The sophomore CB is ninth on the team with 31 tackles this season.",2011,"2011-11-19","B10","y"
"Michigan State Spartans","11/24/11","4:34pm","Kurtis Drummond","DB","Questionable","Concussion/Head","Drummond missed the last game with a concussion and is questionable to return vs NW. The RS freshman reserve played in all 10 previous games and has 16 tackles on the season.",2011,"2011-11-24","B10","y"
"Michigan State Spartans","11/24/11","4:32pm","Johnathan Strayhorn","DL","Questionable","Knee","Strayhorn missed the last game with a knee injury and is questionable to return at NW. The senior reserve played in all 10 previous games and has six tackles on the season.",2011,"2011-11-24","B10","y"
"Michigan Wolverines","09/05/11","3:15pm","Cam Gordon","LB","Probable","Back","Gordon is dealing with a back injury but is probable to play Saturday vs. Notre Dame. The sophomore was second on the team with eight tackles in the season opener. Last year as a freshman, Gordon ranked fourth on the team with 77 tackles.",2011,"2011-09-05","B10","y"
"Michigan Wolverines","09/05/11","3:12pm","Troy Woolfolk","DB","Probable","Ankle","Woolfolk left the season opener with an ankle injury but has been upgraded to probable for Notre Dame. The senior sat out all of last year with an injury but solidified a starting job this summer. He recorded two tackles vs. Western Michigan.",2011,"2011-09-05","B10","y"
"Michigan Wolverines","09/12/11","6:02pm","Brandon Herron","LB","Questionable","Leg","Herron has a leg injury and is questionable to play E.Michigan. The senior had eight tackles in the season opener but did not play vs. Notre Dame. Michigan is getting thin in the LB corps.",2011,"2011-09-12","B10","y"
"Michigan Wolverines","09/12/11","5:58pm","Fitzgerald Toussaint","RB","Probable","Shoulder","Toussaint did not play in the Notre Dame game due to a shoulder injury but is expected to be available for E.Michigan. The Wolverine RBs totaled just 10 yards in week two. Fitzgerald had 80 yards in the season opener.",2011,"2011-09-12","B10","y"
"Michigan Wolverines","09/20/11","2:43am","Stephen Hopkins","RB","Questionable","Elbow","Hopkins was limited in the last game due to an elbow injury and is questionable for week four. The sophomore reserve has 10 yards on five carries so far this year.",2011,"2011-09-20","B10","y"
"Michigan Wolverines","10/04/11","6:01pm","Ricky Barnum","OL","Questionable","Ankle","Barnum has an injured ankle and was not at practice Tuesday. The junior is questionable for the road trip to NW. Sophomore Michael Schofield started at left guard in Barnums' place in week one and would likely get more playing time if Barnum is unable to go this week.",2011,"2011-10-04","B10","y"
"Michigan Wolverines","11/03/11","1:13pm","Jordan Kovacs","DB","Probable","Knee","Kovacs missed the last game due to a knee injury but is expected to return to play at Iowa. The junior ranks third on the team with 42 tackles but is tied for the team lead with three QB sacks. Troy Woolfolk moved from CB to start in place of Kovacs and freshman Blake Countess moved into the starting lineup to replace Woolfolk.",2011,"2011-11-03","B10","y"
"Michigan Wolverines","11/09/11","6:42pm","Fitz Toussaint","RB","Probable","Shoulder","Toussaint was forced out of the last game with a shoulder injury but the sophomore is upgraded to probable play at Illinois. Coach Hoke said he was bruised up a little but would not elaborate. Toussaint leads all tailbacks in rushing this year; QB Denard Robinson leads the team in rushing, again.",2011,"2011-11-09","B10","y"
"Michigan Wolverines","11/15/11","12:36am","Denard Robinson","QB","Probable","Wrist","Robinson suffered a wrist injury at Illinois and sat out most of the second half. Coach Hoke said there is nothing to worry about and Robinson is expected to play vs. Nebraska in week 12.",2011,"2011-11-15","B10","y"
"Middle Tennessee State Blue Raiders","08/27/11","8:48pm","D.D. Kyles","RB","Doubtful","Hamstring","Kyles has been hindered this preseason with hamstring and ankle problems.  The senior has been unable to practice and Coach Rick Stockstill is not sure if Kyles will be ready for the season opener.  Kyles is a backup but gets a lot of playing time.  He carried the ball 77 times last season for 459 yards. ",2011,"2011-08-27","SBC","n"
"Middle Tennessee State Blue Raiders","08/23/11","2:57pm","Shane Blissard","WR","Doubtful","Hamstring","Blissard tweaked his hamstring in practice and has been sidelined.  His status for the upcoming game is uncertain.  The senior will play a limited role.",2011,"2011-08-23","SBC","n"
"Middle Tennessee State Blue Raiders","08/23/11","2:55pm","Jadareius Hamlin","OL","Probable","Forehead","Hamlin had a minor car wreck after practice Wednesday.  The sophomore suffered a cut on his forehead, which required stitches.  Hamlin is out for a few practices because wearing a helmet could open the stitches. ",2011,"2011-08-23","SBC","n"
"Middle Tennessee State Blue Raiders","08/23/11","2:49pm","Justin Jones","LB","Doubtful","Hand","Jones is doubtful for the opening week.  He has been out of practice with a broken thumb.  The junior started 8 games last season, had 68 tackles and 1 sack. ",2011,"2011-08-23","SBC","n"
"Middle Tennessee State Blue Raiders","08/23/11","2:45pm","Stephen Roberts","LB","Doubtful","Knee","Roberts injured his knee in practice.  The severity has not been determined.  Its the opposite knee from the sophomore's torn ACL a year ago.  Craig Allen, Jonathan Brooks, Christian Henry are possible fill-ins.",2011,"2011-08-23","SBC","n"
"Middle Tennessee State Blue Raiders","09/07/11","11:26pm","Jason Rexroad","OL","Questionable","Knee","Rexroad has been sidelined with a sprained MCL.  The true freshman did not play in the season opener.  The backup right guard is questionable for week 2.",2011,"2011-09-07","SBC","n"
"Middle Tennessee State Blue Raiders","09/07/11","11:23pm","Jonathan Brooks","LB","Doubtful","Knee","Brooks has been bothered lately with a sprained knee.  The redshirt freshman did not play in the season opener.  He is doubtful for the second game.",2011,"2011-09-07","SBC","n"
"Middle Tennessee State Blue Raiders","10/08/11","1:28am","Benny Cunningham","RB","Questionable","Foot","Cunningham went out with a foot injury during the 2nd quarter of the Memphis game.  The junior did not return.  Cunningham did not play against Western Kentucky.  Redshirt freshman William Pratcher started and had 16 carries for 108 yards.  Senior DD Kyles carried 19 times for 99 yards and 1 TD.",2011,"2011-10-08","SBC","n"
"Middle Tennessee State Blue Raiders","10/26/11","10:27pm","DD Kyles","RB","Out","Knee","Kyles has been out with a knee injury.  The senior is hoping to return for the Tennessee game on November 5th.  Kyles has 275 yards and 3 TD's on the season.  Coach Rick Stockstill said that sophomore William Pratcher will continue to fill in for Kyles and Benjamin Cunningham.",2011,"2011-10-26","SBC","n"
"Middle Tennessee State Blue Raiders","11/22/11","10:42am","Malcolm Beyah","WR","Doubtful","Knee","Beyah has been out with a knee injury.  The senior has missed the past two games and is listed as doubtful for this week.  Beyah has 42 catches on the season for 469 yards and 6 TD's.",2011,"2011-11-22","SBC","n"
"Minnesota Golden Gophers","09/02/11","4:04pm","Aaron Hill","LB","Out","Hamstring","Hill has been out with a hamstring issue and is expected to miss the season opener. The sophomore backup recorded 14 tackles last year as a RS freshman.",2011,"2011-09-02","B10","y"
"Minnesota Golden Gophers","09/02/11","4:03pm","Brendan Beal","LB","Out","Knee","Beal suffered a potentially serious knee injury and will not travel to SoCal this weekend. The sophomore backup sat out last year after transferring from Florida the year before.",2011,"2011-09-02","B10","y"
"Minnesota Golden Gophers","08/30/11","11:30pm","Josh Campion","OL","Out","Concussion/Head","Campion has been sidelined with a concussion and is expected to miss the season opener. He is expected to add depth at the guard position this fall.",2011,"2011-08-30","B10","y"
"Minnesota Golden Gophers","08/25/11","10:27pm","Brandon Green","WR","Questionable","Knee","Green has been out with a knee injury and is questionable for the season opener. The junior sat out last after making two starts and is projected to be in the starting lineup this fall. He made six starts in 2009.",2011,"2011-08-25","B10","y"
"Minnesota Golden Gophers","08/25/11","10:15pm","Keonon Cooper","LB","Probable","Arm","Cooper showed up at practice earlier this week with an arm in a cast but coach Kill said it is a minor injury. The junior and second-leading returning tackler from last season is expected to return to practice Monday (8/29) and be ready for the season opener.",2011,"2011-08-25","B10","y"
"Minnesota Golden Gophers","08/25/11","10:09pm","AJ Barker","WR","Questionable","Hamstring","Barker has been missing practice due to a hamstring issue and is questionable to be available for the season opener. The junior has one reception in his career and is projected to be a backup this fall.",2011,"2011-08-25","B10","y"
"Minnesota Golden Gophers","09/30/11","8:15pm","Zach Mottla","OL","Out","Concussion/Head","Backup lineman Zach Mottla is expected to miss the road trip to Ann Arbor due to a head injury.",2011,"2011-09-30","B10","y"
"Minnesota Golden Gophers","09/28/11","10:10pm","Marcus Jones","WR","Questionable","Concussion/Head","Jones is dealing with a minor concussion and is questionable to travel to Ann Arbor this weekend. The true freshman ranks third on the team with seven receptions and 101 yards.",2011,"2011-09-28","B10","y"
"Minnesota Golden Gophers","09/28/11","10:05pm","Troy Stoudermire","DB","Questionable","Arm","Stoudermire has been playing with a fracture in his left arm and might be limited at Michigan. He was held out of his special team's duties last week and struggled on defense. His status will likely be determined on game-day.",2011,"2011-09-28","B10","y"
"Minnesota Golden Gophers","09/28/11","10:03pm","MarQueis Gray","QB","Questionable","Foot","Gray was held out of Wednesday practice with a toe injury and is questionable to play at Michigan. The junior would be replaced by true freshman Max Shortell if he is unable to go. Shortell has seen a little time in each game so far this year.",2011,"2011-09-28","B10","y"
"Minnesota Golden Gophers","10/07/11","12:09am","Leston Simpson","DL","Out","Concussion/Head","Simpson has a head injury that is expected to make him unavailable for Purdue. The senior reserve has recorded no stats so far this season.",2011,"2011-10-07","B10","y"
"Minnesota Golden Gophers","10/07/11","12:07am","Harold Legania","DL","Out","Foot","Legania has a foot injury and is expected to miss the Purdue game. The RS freshman reserve has recorded no stats so far this season.",2011,"2011-10-07","B10","y"
"Minnesota Golden Gophers","10/07/11","12:02am","Jimmy Gjere","OL","Out","Concussion/Head","Gjere has a concussion and is expected to sit out the Purdue game this weekend. Coach Kill did not name a replacement yet.",2011,"2011-10-07","B10","y"
"Minnesota Golden Gophers","10/04/11","9:27pm","Donnell Kirkwood","RB","Questionable","Hamstring","Kirkwood was limited in the last game due to a hamstring injury and is questionable to play at Purdue. The sophomore practiced Tuesday, but he is still hampered. Kirkwood ranks third on the team (second among RBs) with 128 rushing yards but is first with three rushing TDs. David Cobb and Devon Wright will likely see more playing time spelling senior Duane Bennett.",2011,"2011-10-04","B10","y"
"Minnesota Golden Gophers","11/04/11","12:20am","Ryan Orton","OL","Probable","Back","Orton missed the last two games with back spasms but the senior is upgraded to probable for Michigan State. Many players have had to switch positions this year due to excessive injuries on the offensive line.",2011,"2011-11-04","B10","y"
"Minnesota Golden Gophers","11/04/11","12:16am","Tommy Olson","OL","Questionable","Ankle","Olson has a sprained ankle and has not practiced all week. The freshman has played in every game this year, starting the last three, but is very questionable to play at MSU. The Gophers have been playing a mixing and matching game with the offensive line all year.",2011,"2011-11-04","B10","y"
"Minnesota Golden Gophers","11/01/11","5:57pm","Chris Hawthorne","K","Doubtful","Leg","Hawthorne has an unspecified leg injury and is not likely to play at Michigan State. The sophomore missed the last game and was replaced by junior Jordan Wettstein.",2011,"2011-11-01","B10","y"
"Minnesota Golden Gophers","11/01/11","5:55pm","Marcus Jones","WR","Out For Year","Knee","Jones suffered an ACL injury and will miss the remainder of the season. The true freshman had nine catches in seven games and returned 13 kickoffs for an average of 28.5 yards per return. Coach Kill said he should be ready to go by spring practice.",2011,"2011-11-01","B10","y"
"Mississippi State Bulldogs","08/30/11","2:11am","Kendrick Cook","TE","Out For Year","Neck","Cook has decided to retire from football after multiple neck injuries in his career.  The senior was to be a back up this year.  Cook retires with 4 starts and 2 receptions. ",2011,"2011-08-30","SEC","y"
"Mississippi State Bulldogs","08/25/11","11:36pm","Chad Bumphis","WR","Probable","Ankle","Bumphis hurt his ankle in April but is expected to play in the season opener.  He has been practicing this offseason.  The junior led the Bulldogs the past two season in receiving yards and caught a team high 5 touchdowns last season.  Bumphis is also coming off a broken collarbone he suffered in the final game last year.",2011,"2011-08-25","SEC","y"
"Mississippi State Bulldogs","08/19/11","4:07pm","Taveze Calhoun","DB","Out For Year","Shoulder","True freshman Taveze Calhoun will likely miss the season after undergoing surgery on his right shoulder. He was not projected to see much playing time this fall.",2011,"2011-08-19","SEC","y"
"Mississippi State Bulldogs","08/19/11","4:04pm","Ricco Sanders","WR","Out","Knee","Sanders had surgery recently to clean up his knee and is out indefinitely. The sophomore was expected to be a primary backup this fall. Expect freshman Joe Morrow to receive some early playing time.",2011,"2011-08-19","SEC","y"
"Mississippi State Bulldogs","09/17/11","12:40am","Tobias Smith","OL","Out For Year","Knee","Smith went down last night with a knee injury on the Bulldog's first drive against LSU.  He did not return to the game but was on the sideline with crutches.  Smith has played in 15 games in his Bulldog career.  It was released today that Smith has a partially torn ACL and is out for the year.  To fill the gap left by Smith, the Bulldogs moved starting senior center Quentin Saulsberry to right guard and brought in freshman Dillon Day to play center. ",2011,"2011-09-17","SEC","y"
"Mississippi State Bulldogs","09/12/11","9:42pm","Nickoe Whitley","DB","Probable","Concussion/Head","Whitley had to be helped to the sideline last week after a vicious hit he put on Auburn wideout Emory Blake.  The sophomore was flagged on the play for a helmet to helmet infraction.  Whitley was a second team freshman All-American last season.  He started 11 games last season as a redshirt freshman.  He is expected to start this week against LSU on Thursday. ",2011,"2011-09-12","SEC","y"
"Mississippi State Bulldogs","09/12/11","9:32pm","James Carmon","OL","Questionable","Leg","Carmon injured his left knee in the second quarter last Saturday against Auburn.  The senior starter was carted off the field.  Coach Dan Mullen said that Carmon is day to day and wasn't sure if he would be available for this Thursday's game against LSU. ",2011,"2011-09-12","SEC","y"
"Mississippi State Bulldogs","09/12/11","9:30pm","Quentin Saulsberry","OL","Probable","Knee","Saulsberry injured his knee last week in the game against Auburn.  Coach Dan Mullen expects the senior to play this Thursday against LSU.  Saulsberry has started 39 games in his Bulldog career.",2011,"2011-09-12","SEC","y"
"Mississippi State Bulldogs","10/05/11","11:10pm","Tyler Russell","QB","Probable","Knee","Russell has been practicing with a large brace on his left knee the past couple of weeks.  The backup sophomore said that he has been medically cleared to play and will resume his roll as the Bulldogs #1 backup at the QB position.",2011,"2011-10-05","SEC","y"
"Mississippi State Bulldogs","10/05/11","11:07pm","Corey Broomfield","DB","Probable","Hand","Broomfield said this week that he is playing with a broken thumb.  The junior said the injury happened during the second game of the season against Auburn.  Broomfield has been playing with a large cast on his right hand.  He has started all 5 games this season.  Junior Darius Slay has been getting more and more minutes while Broomfield rests.",2011,"2011-10-05","SEC","y"
"Mississippi State Bulldogs","11/08/11","5:24pm","Chris Hughes","LB","Questionable","Groin","Hughes has been out with a pulled groin.  Coach Dan Mullen wasn't sure when the sophomore would be able to return.  Hughes has been banged up all season and has played sparingly due to injuries and suspensions.",2011,"2011-11-08","SEC","y"
"Mississippi State Bulldogs","11/18/11","10:43pm","Nickoe Whitley","DB","Out For Year","Foot","Whitley is out for the season after suffering a ruptured achilles tendon in his left foot.  The sophomore had started 7 games this season.  He will finish the season with 34 total tackles and is 2nd on the team with 4 INT's. ",2011,"2011-11-18","SEC","y"
"Mississippi State Bulldogs","12/14/11","12:27am","Archie Muniz","OL","Out For Year","Knee","Muniz had surgery this week to repair torn knee ligaments.  The redshirt freshman had little playing time this season and hopes to be ready for spring practice next year.",2011,"2011-12-14","SEC","y"
"Mississippi Rebels","08/30/11","3:05am","Kentrell Lockett","DL","Questionable","Knee","Lockett has been hobbled in practice this week with a sore knee.  Lockett was granted a sixth year of eligibility after suffering an ACL injury early last season.  The senior skipped spring practice to recover more.  A first team All-SEC selection by the media.  Coach Houston Nutt believes Lockett will be out there.",2011,"2011-08-30","SEC","y"
"Mississippi Rebels","08/26/11","1:25am","Ferbia Allen","TE","Probable","Knee","Allen suffered a knee injury in practice.  The junior has been unable to practice this week.  Allen has started 14 games in his career with the Rebels but is second on the depth chart behind Jamal Mosley.",2011,"2011-08-26","SEC","y"
"Mississippi Rebels","08/26/11","1:23am","Jason Jones","DL","Questionable","Knee","Jones injured his knee in practice.  The junior backup has been unable to practice this week.  He is listed as questionable for the opener. ",2011,"2011-08-26","SEC","y"
"Mississippi Rebels","08/26/11","1:21am","Melvin Harris","WR","Questionable","Back","Harris has been out of practice because of lingering back pain.  The junior started 6 games last season and had 30 catches for 408 yards.  Coach Houston Nutt said the Rebels are not counting on Harris right now for the opening game.  If Harris isn't available, freshman Donte Moncrief will start. ",2011,"2011-08-26","SEC","y"
"Mississippi Rebels","08/21/11","2:28pm","Alex Williams","TE","Out For Year","Knee","Williams tore his ACL last week and will miss the 2011 season. The sophomore was expected to be a reserve this fall.",2011,"2011-08-21","SEC","y"
"Mississippi Rebels","09/08/11","12:24am","Brandon Bolden","RB","Out","Ankle","Bolden injured his ankle in the season opener and could be out for awhile.  Coach Houston Nutt said it might be a fracture, might not, but it doesn't look good.  Bolden's backup Enrique Davis also got injured in the game and didn't return.  Jeff Scott, Devin Thomas and Korvic Neat will now be the running backs for the Rebels.  Bolden rushed for 1028 yards last season with 14 touchdowns.  A huge loss for the Rebels if Bolden is out longer than a week or two.",2011,"2011-09-08","SEC","y"
"Mississippi Rebels","09/08/11","12:18am","Enrique Davis","RB","Questionable","Knee","Davis has been out this week with a knee injury.  The senior RB was filling in for starter Brandon Bolden after Bolden got injured in the season opener.  Davis was injured in the 4th quarter of the same game.  Coach Houston Nutt left open the possibility that Davis could play but he hasn't practiced this week, and the Rebels are moving forward without him.  The three candidates to play RB this week are Jeff Scott, Devin Thomas and Korvic Neat. ",2011,"2011-09-08","SEC","y"
"Mississippi Rebels","09/16/11","1:05am","Brishen Mathews","DB","Out","Back","Mathews is out with a back injury.  The sophomore backup hasn't been able to practice this week and isn't sure when he will be back.  He had 15 tackles last season for the Rebels.",2011,"2011-09-16","SEC","y"
"Mississippi Rebels","09/16/11","1:02am","Mike Marry","LB","Out","Foot","Marry will miss this week with an arch injury.  The sophomore hasn't been able to practice this week and coach Houston Nutt doesn't expect him to be ready this week.  Coach Nutt said that 4 players are in position to compete for the starting spot.",2011,"2011-09-16","SEC","y"
"Mississippi Rebels","10/16/11","3:26pm","Marcus Temple","DB","Out For Year","Ankle","Temple broke his right ankle against Alabama and will miss the rest of the season.  The senior captain had 28 tackles on the season and was 2nd on the team with 2 INT's.  Coach Houston Nutt said Temple had a successful surgery on Sunday morning.",2011,"2011-10-16","SEC","y"
"Mississippi Rebels","10/16/11","3:23pm","Wayne Dorsey","DL","Out For Year","Arm","Dorsey broke his right arm in the game against Alabama.  Coach Houston Nutt said the senior captain will miss the rest of the season.  He underwent surgery on Sunday morning.  Dorsey was leading the team with 5 tackles for loss and 3 sacks on the season. ",2011,"2011-10-16","SEC","y"
"Missouri Tigers","08/29/11","6:58pm","Will Ebner","LB","Questionable","Concussion/Head","Ebner suffered a concussion during a hard-hitting scrimmage nearly two weeks ago and is questionable for the season opener. The senior missed spring camp and then missed vital preparation time this summer. Ebner is now listed No. 2 on the depth chart, likely because he is not quite up to game-speed.",2011,"2011-08-29","SEC","y"
"Missouri Tigers","08/29/11","6:40pm","Austin Wuebbels","OL","Probable","Neck","Wuebbels was sidelined with a tweaked neck but has been upgraded to probable for the season opener. The senior has started 26 games the past two years and last season earned honorable mention All-Big12 accolades. Wuebbels has also been getting some work in at center to help provide depth due to Ruth's injury.",2011,"2011-08-29","SEC","y"
"Missouri Tigers","08/29/11","6:37pm","Kip Edwards","DB","Doubtful","Hamstring","Edwards has a lingering hamstring issue and is doubtful to play in the season opener. The junior recorded 36 tackles last year and is expected to be one of the starting CBs this fall. E.J. Gaines and Trey Hobson have been fighting for the other starting job, and it would seem likely that they both would start now that Edwards is likely out.",2011,"2011-08-29","SEC","y"
"Missouri Tigers","08/29/11","6:34pm","Jarrell Jackson","WR","Doubtful","Hamstring","Jackson has a lingering hamstring issue and is doubtful to play in the season opener. The senior made nine starts last year and ranked third in receiving. If Jackson cannot play, sophomore Marcus Lucas would start in his place, backed up by sophomore L'Damian Washington.",2011,"2011-08-29","SEC","y"
"Missouri Tigers","08/29/11","6:31pm","Travis Ruth","OL","Out","Achilles","Ruth has been out nearly two weeks after straining his Achilles tendon and is expected to miss the season opener. The junior is projected as the starting center this fall and coach Pinkel will slide starting left guard Jayson Palmgren over to center.",2011,"2011-08-29","SEC","y"
"Missouri Tigers","08/25/11","10:02pm","Justin Britt","OL","Questionable","Ankle","Britt has been out while nursing an ankle injury and is questionable to be available for the season opener. The sophomore is likely the starting left tackle in place of Elvis Fisher, who is out for the year.",2011,"2011-08-25","SEC","y"
"Missouri Tigers","08/22/11","9:30pm","Brandon Durant","LB","Out For Year","Knee","Incoming freshman Brandon Durant has a torn ACL and will miss the 2011 season.",2011,"2011-08-22","SEC","y"
"Missouri Tigers","08/15/11","5:44pm","Elvis Fisher","OL","Out For Year","Knee","Fisher suffered a ruptured patella tendon in his left knee Monday that will require surgery this week, ending his 2011 season before it even began. The senior and three-year starter was an honorable mention All-Big12 selection last fall. He used his redshirt as a freshman and it is uncertain if the NCAA will grant him a sixth year of eligibility.",2011,"2011-08-15","SEC","y"
"Missouri Tigers","08/05/11","10:33am","Marcus Murphy","RB","Out","Shoulder","Murphy had surgery to repair a torn labrum in his shoulder and is out indefinitely. The sophomore rushed for 181 yards and two TD's last season. The Tigers still have three other RB's to carry the ball this fall.",2011,"2011-08-05","SEC","y"
"Missouri Tigers","09/06/11","6:13pm","Kendial Lawrence","RB","Out","Leg","Lawrence suffered a broken fibula in the season opener and will be out at least four weeks. The junior won the starting job during preseason camp. Last year, Lawrence ranked third on the team in total rushing yards. Senior De'Vion Moore and sophomore Henry Josey will be the main ball carriers while Lawrence is rehabs.",2011,"2011-09-06","SEC","y"
"Missouri Tigers","09/06/11","6:06pm","Eric Waters","TE","Out","Hamstring","Waters missed the season opener with a hamstring issue and has been downgraded to expected-to-miss for week two. The sophomore played in 12 games last year and is likely to be a reserve this fall.",2011,"2011-09-06","SEC","y"
"Missouri Tigers","09/05/11","10:26am","Gahn McGaffie","WR","Out","Knee","McGaffie missed the season opener with an injured knee and is expected to miss another two games. The junior caught six passes for 40 yards last year and is projected as a reserve this season.",2011,"2011-09-05","SEC","y"
"Missouri Tigers","09/05/11","10:09am","Jaquies Smith","DL","Out","Elbow","Smith has a dislocated elbow and is expected to miss the week two matchup at Arizona State. The senior was second on the team last year with 5.5 sacks and will likely be replaced by sophomore Brayden Burnett Friday.",2011,"2011-09-05","SEC","y"
